Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Log_Food_Production,Happiness_Rank,GDP_Scaled,Predicted,Residual,Abs_Residual,Food_Quantile,Residuals
Kenya,47401,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,4.675796665949183,30,-1.0313662871881466,5.496812432912293,-0.9878124329122926,0.9878124329122926,High,-0.9878124329122926
Gambia,1408,120,Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,3.1489109931093564,31,-1.562503127593508,5.376137378893877,-0.8601373788938771,0.8601373788938771,Low,-0.8601373788938771
Georgia,5635,119,Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,3.750970984437319,32,-0.057615413111650235,5.423720261665121,-0.9047202616651209,0.9047202616651209,Low,-0.9047202616651209
Guinea,11423,118,Guinea,4.534,0.38,0.829,0.375,0.332,0.207,0.086,4.057818194432099,33,-1.3750430662739688,5.447971457612654,-0.9139714576126545,0.9139714576126545,Medium-Low,-0.9139714576126545
Armenia,5862,116,Armenia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,3.7681198941847973,34,-0.15134544377142,5.425075599295793,-0.8660755992957929,0.8660755992957929,Low,-0.8660755992957929
Burkina Faso,18890,115,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113,4.276254948021725,35,-1.5026200524497664,5.4652352695063176,-0.8782352695063178,0.8782352695063178,Medium-High,-0.8782352695063178
Niger,16267,114,Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,4.21133416373255,36,-2.005117161264643,5.4601043554566475,-0.8321043554566474,0.8321043554566474,Medium-High,-0.8321043554566474
Namibia,2693,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,3.4303975913869666,37,-0.07584069685104991,5.398384238011649,-0.7593842380116484,0.7593842380116484,Low,-0.7593842380116484
Senegal,10653,111,Senegal,4.681,0.45,1.134,0.571,0.292,0.153,0.072,4.027512692448811,38,-1.192790228879972,5.445576309007922,-0.7645763090079223,0.7645763090079223,Medium-Low,-0.7645763090079223
Cambodia,12421,109,Cambodia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,4.094191524909532,39,-0.8699423454963211,5.450846167683141,-0.7508461676831404,0.7508461676831404,Medium-Low,-0.7508461676831404
Albania,6952,107,Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,3.8421722293856155,40,0.10120491661740381,5.430928211386866,-0.7119282113868657,0.7119282113868657,Medium-Low,-0.7119282113868657
South Africa,59621,106,South Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,4.775406540203747,41,0.13505187213343178,5.504684945681426,-0.7826849456814253,0.7826849456814253,High,-0.7826849456814253
Gabon,2535,104,Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,3.404149249209695,42,0.3876022325222556,5.396309740774246,-0.5973097407742456,0.5973097407742456,Low,-0.5973097407742456
Benin,12473,102,Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,4.096005739715113,43,-1.3411961107579407,5.450989551351976,-0.5679895513519764,0.5679895513519764,Medium-Low,-0.5679895513519764
Jordan,8477,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,3.928293412232202,44,-0.185192399287448,5.43773466623611,-0.53173466623611,0.53173466623611,Medium-Low,-0.53173466623611
Nepal,33509,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,4.525174427835272,45,-1.2032046767310576,5.484908236649213,-0.5719082366492128,0.5719082366492128,Medium-High,-0.5719082366492128
Ghana,44967,98,Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.04,4.652903572284881,46,-0.7736087028737799,5.495003112565833,-0.4990031125658323,0.4990031125658323,High,-0.4990031125658323
Bulgaria,10224,97,Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,4.009663316679379,47,0.4787286512192543,5.444165611125634,-0.43316561112563345,0.43316561112563345,Medium-Low,-0.43316561112563345
Cameroon,30520,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037,4.484598758882028,48,-0.9350326445656053,5.481701401239159,-0.4377014012391598,0.4377014012391598,Medium-High,-0.4377014012391598
Indonesia,237826,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,5.3762611576223485,49,0.059547125213061984,5.552172563584964,-0.36017256358496397,0.36017256358496397,High,-0.36017256358496397
Lebanon,7408,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,3.86975959478241,50,0.20534939512825912,5.4331085362590565,-0.23610853625905648,0.23610853625905648,Medium-Low,-0.23610853625905648
Morocco,47208,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,4.674024801128532,51,-0.2789224299472175,5.496672396309194,-0.2886723963091935,0.2886723963091935,High,-0.2886723963091935
