Area,Y2013,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Log_Food_Production
Italy,121163,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,5.083373602307339
Jamaica,3878,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,3.5887197796000563
Japan,153161,58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,5.18515102876009
Jordan,8477,101,Jordan,4.906,0.837,1.225,0.815,0.383,0.11,0.13,3.928293412232202
Kazakhstan,32695,60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,4.514494624703537
Kenya,47401,121,Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,4.675796665949183
Kuwait,6123,51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097,3.7870351820262234
Kyrgyzstan,8442,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023,3.9264967892732203
Latvia,3542,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064,3.549371152333177
Lebanon,7408,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,3.86975959478241
Lesotho,1801,144,Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,3.255754786643044
Liberia,3310,141,Liberia,3.975,0.073,0.922,0.443,0.37,0.233,0.033,3.5199591807520685
Lithuania,6340,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,3.8021577531869615
Luxembourg,1218,14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,3.0860037056183818
Madagascar,19488,143,Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,4.2897895556069106
Malawi,17215,150,Malawi,3.41,0.191,0.56,0.495,0.443,0.218,0.089,4.235932253986295
Malaysia,31580,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,4.499425877654731
Mali,15737,128,Mali,4.39,0.385,1.105,0.308,0.327,0.153,0.052,4.196949540973997
Malta,826,22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,2.9175055095525466
Mauritania,3894,122,Mauritania,4.49,0.57,1.167,0.489,0.066,0.106,0.088,3.590507462008583
Mauritius,1589,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,3.2013971243204513
Mexico,166591,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,5.221654142093123
Mongolia,3280,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,3.5160062303860475
Montenegro,1502,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,3.176958980586908
Morocco,47208,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,4.674024801128532
Mozambique,25077,123,Mozambique,4.466,0.204,0.986,0.39,0.494,0.197,0.138,4.399292898043911
Myanmar,51583,131,Myanmar,4.36,0.71,1.181,0.555,0.525,0.566,0.172,4.712515015788978
Namibia,2693,113,Namibia,4.639,0.879,1.313,0.477,0.401,0.07,0.056,3.4303975913869666
Nepal,33509,100,Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,4.525174427835272
Netherlands,35849,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,4.554489160003819
New Zealand,7603,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,3.8810421081934057
Nicaragua,5358,45,Nicaragua,6.105,0.694,1.325,0.835,0.435,0.2,0.127,3.729083757043612
